min_time_above_threshold,normalized_threshold,square_loss,square_loss_norm,late_square_loss,outliers,commit_hash,nshots,square_loss_tq_norm,square_loss_cq_norm,square_loss_non_outliers,late_square_loss_non_outliers
0.003,0.7,4.648765058204577,0.0,1.9280483229130774,0.08571428571428572,c59fe6e,70.0,8.728648824772367,0.3579715298720938,0.24614636109571886,0.15178288446457394
0.003,0.75,0.0,0.0,0.0,0.0,,,,,,
0.0035,0.4,13.16849785768387,0.0,0.15474306648364314,0.18571428571428572,c59fe6e,70.0,25.91006448002415,1.6819072290369972,0.4363042274548077,0.15474306648364314
0.0035,0.45,2.1400585641659924,0.0,2.0364818478350717,0.07142857142857142,c59fe6e,70.0,1.862355618110355,0.0917941099133454,0.15439028792893333,0.1488838105369731
0.0035,0.5,2.7324707351250916,0.0,2.0176976289203097,0.07142857142857142,c59fe6e,70.0,2.3549246340083596,0.13912017517078037,0.14084422105870859,0.13009959162221132
0.0035,0.55,4.1751476146806095,0.0,1.9604834980119903,0.08571428571428572,c59fe6e,70.0,8.144156258002953,0.30901987063239233,0.14067719516265825,0.12479084099387541
0.0035,0.6,4.290404340460935,0.0,1.9310612764182382,0.07142857142857142,c59fe6e,70.0,8.522695019802791,0.32497517168798246,0.22026875980584282,0.15481334453852416
0.0035,0.6499999999999999,4.186920656586133,0.0,1.599681240956514,0.08571428571428572,c59fe6e,70.0,8.745007603823145,0.4127428718367513,0.2432177499802688,0.1481904369766942
0.0035,0.7,8.435441296953217,0.0,0.14154912312312215,0.12857142857142856,c59fe6e,70.0,10.231202313716196,1.0247842908301268,0.4824969911522427,0.14154912312312215
0.0035,0.75,49.28379170954988,0.0,0.13580203675560518,0.22857142857142856,c59fe6e,70.0,32.385443455994746,3.344100311348482,0.43385530836171254,0.13580203675560518
0.004,0.4,2.340744407720718,0.0,2.2392098553148507,0.1,c59fe6e,70.0,2.123256969145796,0.11279178875325709,0.17378982744331567,0.17032551397640858
0.004,0.45,2.1400650740991156,0.0,2.036488824074554,0.07142857142857142,c59fe6e,70.0,1.862373001814618,0.0917950346754716,0.1543967978620567,0.1488907867764551
0.004,0.5,2.7324747094818176,0.0,2.0177023554245865,0.07142857142857142,c59fe6e,70.0,2.3549237241124286,0.13912420868778277,0.14084819541543447,0.13010431812648782
0.004,0.55,4.175139717530746,0.0,1.9604937068583077,0.08571428571428572,c59fe6e,70.0,8.144153812844591,0.3090209642268465,0.14068568094187103,0.1248010498401928
0.004,0.6,4.027663652713976,0.0,1.6683378536361917,0.05714285714285714,c59fe6e,70.0,8.254580623556807,0.31089806807259085,0.2241395002602563,0.1586839592727339
0.004,0.6499999999999999,2.741995170900978,0.0,0.15480326730136132,0.07142857142857142,c59fe6e,70.0,7.707071287857387,0.4068577355294639,0.24983071085255482,0.15480326730136132
0.004,0.7,43.044440832195015,0.0,0.14155274200629217,0.12857142857142856,c59fe6e,70.0,27.888729721441667,2.8622442278406854,0.4825003088632908,0.14155274200629217
0.004,0.75,49.630753788380815,0.0,0.13580632503485002,0.24285714285714285,c59fe6e,70.0,32.76999750908009,3.5004571796958364,0.41786771896716574,0.13580632503485002
0.0045000000000000005,0.4,0.0,0.0,0.0,0.0,,,,,,
0.0045000000000000005,0.45,0.0,0.0,0.0,0.0,,,,,,
0.0045000000000000005,0.5,0.0,0.0,0.0,0.0,,,,,,
0.0045000000000000005,0.55,0.0,0.0,0.0,0.0,,,,,,
0.0045000000000000005,0.6,0.0,0.0,0.0,0.0,,,,,,
0.0045000000000000005,0.6499999999999999,0.0,0.0,0.0,0.0,,,,,,
0.0045000000000000005,0.7,0.0,0.0,0.0,0.0,,,,,,
0.0045000000000000005,0.75,0.0,0.0,0.0,0.0,,,,,,
0.005,0.4,0.0,0.0,0.0,0.0,,,,,,
0.005,0.45,0.0,0.0,0.0,0.0,,,,,,
0.005,0.5,0.0,0.0,0.0,0.0,,,,,,
0.005,0.55,0.0,0.0,0.0,0.0,,,,,,
0.005,0.6,0.0,0.0,0.0,0.0,,,,,,
0.005,0.6499999999999999,0.0,0.0,0.0,0.0,,,,,,
0.005,0.7,0.0,0.0,0.0,0.0,,,,,,
0.005,0.75,0.0,0.0,0.0,0.0,,,,,,
0.0055000000000000005,0.4,0.0,0.0,0.0,0.0,,,,,,
0.0055000000000000005,0.45,0.0,0.0,0.0,0.0,,,,,,
0.0055000000000000005,0.5,0.0,0.0,0.0,0.0,,,,,,
0.0055000000000000005,0.55,0.0,0.0,0.0,0.0,,,,,,
0.0055000000000000005,0.6,0.0,0.0,0.0,0.0,,,,,,
0.0055000000000000005,0.6499999999999999,0.0,0.0,0.0,0.0,,,,,,
0.0055000000000000005,0.7,0.0,0.0,0.0,0.0,,,,,,
0.0055000000000000005,0.75,0.0,0.0,0.0,0.0,,,,,,
0.006,0.4,0.0,0.0,0.0,0.0,,,,,,
0.006,0.45,0.0,0.0,0.0,0.0,,,,,,
0.006,0.5,0.0,0.0,0.0,0.0,,,,,,
0.006,0.55,0.0,0.0,0.0,0.0,,,,,,
0.006,0.6,0.0,0.0,0.0,0.0,,,,,,
0.006,0.6499999999999999,0.0,0.0,0.0,0.0,,,,,,
0.006,0.7,0.0,0.0,0.0,0.0,,,,,,
0.006,0.75,0.0,0.0,0.0,0.0,,,,,,
