,SHOT
15128,1000602018
15129,1000602019
15130,1000602020
15131,1000602021
15132,1000602022
15133,1000602023
15140,1000606007
15141,1000606008
15142,1000606009
15143,1000606010
15144,1000606011
15145,1000606012
15146,1000606013
15147,1000606014
15148,1000606015
15149,1000606016
15150,1000607001
15151,1000607002
15152,1000607003
15153,1000607004
15154,1000607005
15155,1000607006
15156,1000607007
15157,1000607008
15158,1000607009
15159,1000607010
15160,1000607011
15161,1000607012
15162,1000607013
15163,1000607014
15164,1000607015
15165,1000607016
15166,1000607017
15167,1000607018
15168,1000607019
15169,1000607020
15170,1000607021
15171,1000607022
15172,1000607023
15173,1000607024
15174,1000607025
15175,1000608001
15176,1000608002
15177,1000608003
15178,1000608004
15179,1000608005
15180,1000608006
15181,1000608007
15182,1000608008
15183,1000608009
15184,1000608010
15185,1000608011
15186,1000608012
15187,1000608013
15188,1000608014
15189,1000608015
15190,1000608016
15191,1000608017
15192,1000608018
15193,1000608019
15194,1000608020
15195,1000608021
15196,1000608022
15197,1000608023
15198,1000608024
15199,1000608025
15200,1000608026
15201,1000608027
15202,1000609001
15203,1000609002
15204,1000609003
15205,1000609004
15206,1000609005
15207,1000609006
15208,1000609007
15209,1000609008
15210,1000609009
15211,1000609010
15212,1000609011
15216,1000609015
15217,1000609016
15218,1000609017
15219,1000609018
15222,1000613003
15223,1000613004
15224,1000613005
15225,1000613006
15226,1000613007
15227,1000613008
15228,1000613009
15229,1000613010
15230,1000613011
15231,1000613012
15232,1000613013
15233,1000613014
15234,1000613015
15235,1000613016
15236,1000613017
15237,1000613018
15238,1000613019
15239,1000613020
15240,1000613021
15241,1000613022
15242,1000613023
15243,1000613024
15244,1000614001
15245,1000614002
15246,1000614003
15247,1000614004
15248,1000614005
15249,1000614006
15250,1000614007
15251,1000614008
15252,1000614009
15253,1000614010
15254,1000614011
15255,1000614012
15256,1000614013
15257,1000614014
15258,1000614015
15259,1000614016
15260,1000614017
15261,1000614018
15262,1000614019
15263,1000614020
15264,1000614021
15265,1000614022
15266,1000614023
15267,1000615001
15268,1000615002
15269,1000615003
15272,1000615006
15273,1000615007
15274,1000615008
15275,1000615009
15276,1000615010
15277,1000615011
15278,1000615012
15279,1000615013
15280,1000615014
15281,1000615015
15282,1000615016
15283,1000615017
15284,1000615018
15285,1000615019
15286,1000615020
15287,1000615021
15288,1000615022
15289,1000615023
15290,1000615024
15291,1000616001
15292,1000616002
15293,1000616003
15294,1000616004
15295,1000616005
15296,1000616006
15297,1000616007
15298,1000616008
15299,1000616009
15300,1000616010
15301,1000616011
15302,1000616012
15303,1000616013
15304,1000616014
15305,1000616015
15306,1000616016
15307,1000616017
15308,1000616018
15309,1000616019
15310,1000616020
15311,1000616021
15312,1000616022
15313,1000620001
15314,1000620002
15315,1000620003
15316,1000620004
15317,1000620005
15318,1000620006
15319,1000620007
15320,1000620008
15321,1000620009
15322,1000620010
15323,1000620011
15324,1000620012
15325,1000620013
15326,1000620014
15327,1000620015
15328,1000620016
15329,1000620017
15330,1000620018
15331,1000620019
15332,1000620020
15333,1000620021
15334,1000620022
15335,1000620023
15336,1000620024
15337,1000621001
15338,1000621002
15339,1000621003
15340,1000621004
15341,1000621005
15342,1000621006
15343,1000621007
15344,1000621008
15345,1000621009
15346,1000621010
15347,1000621011
15348,1000621012
15349,1000621013
15350,1000621014
15352,1000621016
15353,1000621017
15354,1000621018
15355,1000621019
15356,1000621020
15357,1000622001
15358,1000622002
15359,1000622003
15360,1000622004
15361,1000622005
15362,1000622006
15363,1000622007
15364,1000622008
15365,1000622009
15366,1000622010
15367,1000622011
15368,1000622012
15369,1000622013
15370,1000622014
15371,1000622015
15372,1000622016
15373,1000622017
15374,1000622018
15375,1000622019
15376,1000622020
15377,1000622021
15378,1000622022
15379,1000622023
15380,1000622024
15381,1000622025
15383,1000623001
15384,1000623002
15385,1000623003
15386,1000623004
15387,1000623005
15388,1000623006
15390,1000623008
15391,1000623009
15392,1000623010
15393,1000623011
15394,1000623012
15395,1000623013
15396,1000623014
15397,1000623015
15398,1000623016
15399,1000623017
15400,1000623018
15401,1000623019
15402,1000623020
15403,1000623021
15404,1000623022
15405,1000623023
15406,1000623024
15407,1000623025
15409,1000626002
15410,1000626003
15411,1000626004
15412,1000626005
15413,1000626006
15414,1000626007
15417,1000626010
15418,1000626011
15419,1000626012
15420,1000626013
15421,1000626014
15422,1000626015
15423,1000626016
15424,1000626017
15425,1000627001
15426,1000627002
15427,1000627003
15428,1000627004
15429,1000627005
15430,1000627006
15431,1000627007
15432,1000627008
15433,1000627009
15434,1000627010
15435,1000627011
15436,1000627012
15438,1000627014
15440,1000627016
15441,1000627017
15442,1000627018
15443,1000627019
15444,1000627020
15445,1000627021
15446,1000628001
15447,1000628002
15448,1000628003
15449,1000628004
15450,1000628005
15451,1000628006
15452,1000628007
15453,1000628008
15454,1000628009
15455,1000628010
15456,1000628011
15457,1000628012
15458,1000628013
15460,1000628015
15461,1000628016
15462,1000628017
15463,1000628018
15464,1000628019
15465,1000628020
15466,1000628021
15467,1000628022
15468,1000628023
15469,1000629001
15470,1000629002
15471,1000629003
15472,1000629004
15473,1000629005
15474,1000629006
15475,1000629007
15476,1000629008
15477,1000629009
15478,1000629010
15479,1000629011
15480,1000629012
15481,1000629013
15482,1000629014
15483,1000629015
15484,1000629016
15485,1000629017
15486,1000629018
15487,1000629019
15488,1000629020
15489,1000629021
15490,1000629022
15491,1000629023
15492,1000629024
15493,1000630001
15494,1000630002
15495,1000630003
15496,1000630004
15497,1000630005
15498,1000630006
15499,1000630007
15500,1000630008
15501,1000630009
15502,1000630010
15503,1000630011
15504,1000630012
15505,1000630013
15506,1000630014
15507,1000630015
15508,1000630016
15509,1000630017
15510,1000630018
15511,1000630019
15512,1000630020
15513,1000630021
15514,1000630022
15515,1000630023
15516,1000630024
15517,1000630025
15518,1000630026
15519,1000630027
15547,1000816029
15548,1000817001
15549,1000817002
15550,1000817003
15551,1000817004
15552,1000817005
15553,1000817006
15554,1000817007
15555,1000817008
15556,1000817009
15557,1000817010
15558,1000817011
15559,1000817012
15560,1000817013
15561,1000817014
15562,1000817015
15563,1000817016
15564,1000817017
15565,1000817018
15566,1000817019
15567,1000818001
15568,1000818002
15570,1000818004
15571,1000818005
15572,1000818006
15573,1000818007
15574,1000818008
15575,1000818009
15576,1000818010
15577,1000818011
15578,1000818012
15579,1000818013
15580,1000818014
15581,1000818015
15582,1000818016
15583,1000818017
15584,1000818018
15585,1000818019
15586,1000818020
15587,1000818021
15589,1000818023
15590,1000818024
15591,1000818025
15593,1000823002
15594,1000823003
15595,1000823004
15596,1000823005
15597,1000823006
15598,1000823007
15599,1000823008
15600,1000823009
15601,1000823010
15602,1000823011
15603,1000823012
15604,1000823013
15605,1000823014
15606,1000823015
15607,1000823016
15608,1000823017
15610,1000824002
15611,1000824003
15612,1000824004
15613,1000824005
15614,1000824006
15615,1000824007
15616,1000824008
15617,1000824009
15618,1000824010
15621,1000824013
15622,1000824014
15623,1000824015
15624,1000824016
15625,1000824017
15626,1000824018
15627,1000824019
15628,1000824020
15629,1000824021
15630,1000824022
15631,1000824023
15632,1000824024
15633,1000824025
15634,1000824026
15635,1000825001
